Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.100576638998187,-0.131812557288457,0.0528922918632407,0,0,0,6.43009430721256,0.0225206161803425,7.17735711667829E-07,3.36482640849362E-07,0.0143574314937999,-1.44491583273623E-05,0.0229703699737285,0,0,0,0,0,0,package://Newmodel/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Newmodel/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RFW,0.017684,1.2627E-11,3.4505E-10,0,0,0,0.19359,0.00025308,-1.3791E-23,4.8585E-21,0.00013682,1.2705E-21,0.00013682,0,0,0,0,0,0,package://Newmodel/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://Newmodel/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.0717526295870665,-0.0213991318329796,-0.0348013967668192,1.60341860825238,0,0,base_link,1,0,0,3.1,7,,,,,,,,,,
LFW,0.0176842754249037,3.18595691495283E-10,1.33117253331427E-10,0,0,0,0.193585420779862,0.000253081141332254,2.78237503522264E-19,1.01289029826784E-19,0.000136818598566517,0,0.000136818598566517,0,0,0,0,0,0,package://Newmodel/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://Newmodel/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,-0.271747370412951,-0.0213991318329767,-0.034802969642082,-0.39179641218951,0,3.14159265358979,base_link,1,0,0,3.1,7,,,,,,,,,,
RBW,0.017684,-1.2207E-10,3.2299E-10,0,0,0,0.19359,0.00025308,-5.5486E-22,8.0309E-21,0.00013682,0,0.00013682,0,0,0,0,0,0,package://Newmodel/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://Newmodel/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW,RBW,continuous,0.0717526295870657,-0.218599131832979,-0.0348029696420729,1.20549109022013,0,0,base_link,1,0,0,3.1,7,,,,,,,,,,
LBW,0.0176842754249227,3.18593207371265E-10,1.33117600276123E-10,0,0,0,0.193585420779862,0.000253081141332254,1.8197108462484E-20,-6.03994600633977E-21,0.000136818598566517,-1.35525271560688E-20,0.000136818598566517,0,0,0,0,0,0,package://Newmodel/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://Newmodel/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,-0.271747370412932,-0.217999131832978,-0.0348013967668293,-0.391796412189507,0,3.14159265358979,base_link,1,0,0,3.1,7,,,,,,,,,,
RFS,-3.4528E-10,1.0148E-12,-0.0425,0,0,0,0.2618,0.00016635,-3.269E-22,1.8908E-20,0.00016635,-2.5289E-19,1.7453E-05,0,0,0,0,0,0,package://Newmodel/meshes/RFS.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://Newmodel/meshes/RFS.STL,,suspension_system-3,Origin_RFS,Axis_RFS,RFS,fixed,0.0430026295870576,-0.0349991318329793,0.0149978167955517,-3.14159265358979,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFS,1.0144E-12,3.4529E-10,0.0425,0,0,0,0.2618,0.00016635,2.5265E-21,-1.0151E-19,0.00016635,1.4542E-20,1.7453E-05,0,0,0,0,0,0,package://Newmodel/meshes/LFS.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://Newmodel/meshes/LFS.STL,,suspension_system-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.242997370412942,-0.0349991318329757,0.0999978167955465,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
RBS,3.4528210846041E-10,-1.01482711123424E-12,-0.0425000000013679,0,0,0,0.2618,0.000166352083333333,-2.77173364497301E-21,-2.04287491693265E-20,0.000166352083333333,-1.31136433098067E-20,1.74533333333334E-05,0,0,0,0,0,0,package://Newmodel/meshes/RBS.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Newmodel/meshes/RBS.STL,,suspension_system-4,Origin_RBS,,RBS,fixed,0.043003,-0.205,0.014998,-3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
LBS,1.014E-12,3.4529E-10,0.0425,0,0,0,0.2618,0.00016635,-5.6576E-21,1.4959E-18,0.00016635,2.036E-20,1.7453E-05,0,0,0,0,0,0,package://Newmodel/meshes/LBS.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://Newmodel/meshes/LBS.STL,,suspension_system-5,Origin_LBS2,,LBS,fixed,-0.243,-0.205,0.099998,3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
Camera,-0.023886,-0.025501,0.093335,0,0,0,0.084224,1.3967E-05,-8.8168E-10,-1.0104E-09,3.6726E-05,-1.5151E-06,3.0115E-05,0,0,0,0,0,0,package://Newmodel/meshes/Camera.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Newmodel/meshes/Camera.STL,,webcam-1,Origin_Camera,,Camera,fixed,-0.13188,-0.10697,0.14474,1.7188,0,3.1056,base_link,0,0,0,,,,,,,,,,,,
RPLidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Newmodel/meshes/RPLidar.STL,1,1,1,1,0,0,0,0,0,0,package://Newmodel/meshes/RPLidar.STL,,RPLidar-1,Origin_RPLidar,,RPLidar,fixed,-0.23716,0.016589,-0.56869,1.5708,0,1.5973,base_link,0,0,0,,,,,,,,,,,,
